,Rondônia,Acre,Amazonas,Roraima,Pará,Amapá,Tocantins,Maranhão,Piauí,Ceará,Rio Grande do Norte,Paraíba,Pernambuco,Alagoas,Sergipe,Bahia,Minas Gerais,Espírito Santo,Rio de Janeiro,São Paulo,Paraná,Santa Catarina,Rio Grande do Sul,Mato Grosso do Sul,Mato Grosso,Goiás,Distrito Federal
2001,672,357,2330,144,3600,214,317,3088,1379,4253,1160,1364,4560,1341,554,7973,1374,1632,16968,19139,3204,1702,5231,978,1458,1220,383
2002,637,364,2279,172,3882,288,309,3204,1351,4392,1179,1386,4875,1359,592,7904,5902,1569,16781,19046,3410,1875,5508,910,1278,1205,384
2003,648,367,2369,198,4038,263,282,3164,1251,4586,1352,1457,5167,1427,650,8482,5999,1559,16125,18389,3425,1906,5790,1007,1289,1277,418
2004,627,353,2557,215,4146,268,274,3180,1349,4473,1373,1494,5466,1428,626,8266,6105,1529,15832,17601,3251,1880,5902,1024,1177,1142,395
2005,630,319,2485,147,4040,271,258,3381,1349,4658,1356,1479,5330,1509,827,7986,5942,1439,15324,17539,3395,1846,5660,1039,1344,1156,414
2006,521,389,2429,138,3831,245,261,3056,1137,4141,1162,1124,4901,1362,692,7202,5386,1350,14195,18054,2818,1827,5151,881,1333,1015,399
2007,551,305,2454,132,3821,269,235,2978,1152,4170,1112,1182,4840,1384,580,6775,5348,1426,14199,17618,3047,1873,5494,948,1179,1032,445
2008,566,298,2691,148,3842,266,209,2628,1046,4477,1212,1325,4993,1410,687,6715,5195,1528,14676,18430,2970,2026,5688,1008,1288,996,382
2009,681,352,2617,139,4140,250,236,2588,969,4667,1187,1316,5031,1452,669,7006,4857,1427,14384,17807,2787,2002,6105,1042,1161,1047,335
2010,571,340,2753,139,4161,216,209,2518,883,4316,1111,1322,5185,1370,619,6554,4445,1466,14250,18178,2760,2074,6172,937,1369,1060,333
2011,680,389,2685,164,4370,255,222,2585,912,4402,1268,1401,5402,1326,658,6459,4624,1437,14335,19045,2711,2219,6361,1045,1371,1053,364
2012,692,392,2842,131,4093,242,208,2280,833,4233,1208,1427,5702,1363,610,6099,4267,1449,14018,18641,2522,2232,6404,1090,1580,1118,438
2013,699,391,3066,166,4167,210,205,2360,820,4055,1274,1423,5426,1333,701,5696,4207,1381,13347,19481,2648,2269,6346,1096,1889,1124,366
2014,679,440,3173,143,3985,205,186,2168,755,3877,1187,1306,5448,1248,785,5628,4189,1312,13106,19995,2546,2248,6368,995,1779,1039,422
2015,653,348,3420,172,4031,219,186,2281,704,4012,1158,1250,5655,1075,763,5317,4053,1389,13369,20334,2469,2178,6378,1005,1447,1135,396
2016,763,443,3271,158,4254,273,212,2492,761,4044,1182,1220,5524,1238,792,5303,4071,1240,13647,20536,2437,2197,6039,1130,1460,1072,386
2017,773,485,3683,209,4546,288,190,2507,755,4290,1351,1366,6371,1271,834,5497,4048,1325,13930,22064,2496,2230,6594,1140,1422,1210,361
2018,676,483,3789,266,4721,274,235,2688,841,4555,1625,1550,6484,1346,980,5663,4205,1480,14825,22214,2848,2287,6903,1455,1405,1263,419
2019,739,585,3944,325,5565,352,249,2704,833,4542,1421,1487,6788,1296,1021,5651,4342,1490,14967,21899,2866,2279,7636,1407,1513,1235,424
2020,575,539,3493,289,4461,269,205,2366,722,3695,1503,1267,6068,927,793,4449,3873,1725,13080,19015,2803,1517,6322,1174,1176,986,345
